name,url,country,location,qs_ranking_preview,the_ranking_preview,arwu_ranking_preview,bachelor_from,bachelor_to,master_from,master_to,doctorate_from,doctorate_to,location_full,establishment_year,total_students,international_students,female_students,acceptance_rate,qs_rating,the_rating,rating_usa,iso3_code,country_name,iso2_code,gdp,unemployment_rate,school_enrollment_tert,adult_literacy_rate,heritage_year,economic_freedom_score
Monash University,https://www.unipage.net/en/130/monash_university,AU,"Australia,Clayton",37.0,58.0,77.0,"8,375","252,836","6,281","94,219","21,382","118,011","Clayton, Australia",1958.0,"66,190","32,499",57%,,#37,#58,,AUS,Australia,AU,1752193307380.34,4.072,104.64835357666,,2025.0,79.3
University of Maryland-College Park,https://www.unipage.net/en/653/university_of_maryland_college_park,US,"United States,College Park",218.0,112.0,50.0,"39,458","39,458","14,996","20,290",,,"College Park, United States",1856.0,"40,421","3,126",48%,45%,#218,#112,#48,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Nottingham,https://www.unipage.net/en/189/university_of_nottingham,GB,"United Kingdom,Nottingham",108.0,136.0,101.0,1,"206,753",1,"119,802","26,481","69,514","Nottingham, United Kingdom",1881.0,"33,115","8,495",54%,,#108,#136,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Lund University,https://www.unipage.net/en/106/lund_university,SE,"Sweden,Lund",75.0,95.0,151.0,"5,827","27,685","1,130","39,692",,,"Lund, Sweden",1666.0,"27,266","5,181",55%,,#75,#95,,SWE,Sweden,SE,610117791237.089,8.528,81.3998184204102,,2025.0,77.9
Katholieke Universiteit Leuven,https://www.unipage.net/en/428/katholieke_universiteit_leuven,BE,"Belgium,Leuven",63.0,43.0,86.0,"1,412","8,495","1,086","10,735",,,"Leuven, Belgium",1425.0,"47,445","9,062",51%,,#63,#43,,BEL,Belgium,BE,664564181486.953,5.488,82.1475601196289,,2025.0,69.0
Shanghai Jiao Tong University,https://www.unipage.net/en/13870/shanghai_jiao_tong_university,CN,"China,Shanghai",45.0,52.0,46.0,"10,890","12,256","3,934","25,590","6,193","6,600","Shanghai, China",1896.0,"42,010","2,837",43%,,#45,#52,,CHN,China,CN,18743803170827.2,4.571,76.8757843123403,96.7399978637695,2025.0,49.0
Pierre and Marie Curie University,https://www.unipage.net/en/69/pierre_and_marie_curie_university,FR,"France,Paris",,,,212,212,293,293,,,"Paris, France",1971.0,"28,078","4,213",,100%,,,,FRA,France,FR,3162079073495.78,7.37,70.4536437988281,,2025.0,64.4
University of Groningen,https://www.unipage.net/en/211/university_of_groningen,NL,"Netherlands,Groningen",159.0,80.0,76.0,"11,300","36,160","6,780","23,504",,,"Groningen, Netherlands",1614.0,"33,402","10,427",52%,,#159,#80,,NLD,Netherlands,NL,1227543925316.41,3.599,86.5938262939453,,2025.0,78.2
Tohoku University,https://www.unipage.net/en/442/tohoku_university,JP,"Japan,Sendai",107.0,120.0,201.0,"3,746","3,746","3,746","4,120","3,746","3,746","Sendai, Japan",1907.0,"17,411","2,113",28%,10%,#107,#120,,JPN,Japan,JP,4026210821146.81,2.563,64.8912200927734,,2025.0,70.2
University of Birmingham,https://www.unipage.net/en/446/university_of_birmingham,GB,"United Kingdom,Birmingham",80.0,93.0,151.0,0,"253,427","1,042","100,795",0,"40,278","Birmingham, United Kingdom",1900.0,"32,135","8,565",58%,,#80,#93,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Leiden University,https://www.unipage.net/en/208/leiden_university,NL,"Netherlands,Leiden",141.0,73.0,101.0,"12,109","21,803","2,859","35,143",,,"Leiden, Netherlands",1575.0,"33,279","5,793",60%,,#141,#73,,NLD,Netherlands,NL,1227543925316.41,3.599,86.5938262939453,,2025.0,78.2
University of Southern California,https://www.unipage.net/en/337/university_of_southern_california,US,"United States,California",125.0,72.0,58.0,"60,259","69,885","17,947","127,838",,,"California, United States",1880.0,"48,751","8,835",49%,12%,#125,#72,#15,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Aarhus University,https://www.unipage.net/en/419/aarhus_university,DK,"Denmark,Arhus",144.0,110.0,78.0,"2,315","9,605","9,040","20,340",0,"15,767","Arhus, Denmark",1928.0,"30,013","3,595",55%,,#144,#110,,DNK,Denmark,DK,429457372071.869,5.587,81.2308197021484,,2025.0,79.1
University of Hong Kong,https://www.unipage.net/en/20/university_of_hong_kong,HK,"Hong Kong,Hong Kong",17.0,35.0,88.0,"18,825","18,825","18,825","70,485",,,"Hong Kong, Hong Kong",1911.0,"18,260","8,034",54%,,#17,#35,,,,,,,,,,
University of Sheffield,https://www.unipage.net/en/439/university_of_sheffield,GB,"United Kingdom,Sheffield",,98.0,,"23,337","23,337","23,337","23,337",,,"Sheffield, United Kingdom",1897.0,"27,263","10,359",52%,,,,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
University of Southampton,https://www.unipage.net/en/473/university_of_southampton,GB,"United Kingdom,Southampton",80.0,115.0,151.0,"10,124","120,543",0,"44,356","17,279","38,266","Southampton, United Kingdom",1862.0,"20,570","7,225",53%,,#80,#115,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Georgia Institute of Technology,https://www.unipage.net/en/429/georgia_institute_of_technology,US,"United States,Atlanta",114.0,40.0,151.0,"30,370","35,448","2,160","68,360",,,"Atlanta, United States",1885.0,"38,951","10,517",33%,60%,#114,#40,#32,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Western Australia,https://www.unipage.net/en/24/university_of_western_australia,AU,"Australia,Perth",77.0,149.0,101.0,"5,795","78,992","6,043","80,324","5,726","54,438","Perth, Australia",1911.0,"18,287","5,187",49%,,#77,#149,,AUS,Australia,AU,1752193307380.34,4.072,104.64835357666,,2025.0,79.3
University of Leeds,https://www.unipage.net/en/466/university_of_leeds,GB,"United Kingdom,Leeds",82.0,123.0,151.0,"20,523","40,053","7,494","52,036","30,454","30,454","Leeds, United Kingdom",1904.0,"32,024","8,755",61%,,#82,#123,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
Rice University,https://www.unipage.net/en/422/rice_university,US,"United States,Houston",141.0,112.0,101.0,"51,093","62,857","19,995","65,982","31,941","59,768","Houston, United States",1912.0,"8,658","1,988",43%,9%,#141,#112,#21,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Moscow State University,https://www.unipage.net/en/3/moscow_state_university,RU,"Russia,Moscow",94.0,,101.0,"4,190","6,208","4,609","7,910",,,"Moscow, Russia",1755.0,"29,235","8,478",,,,,,RUS,Russian Federation,RU,2173835806671.66,2.527,60.3891235376867,99.9300003051758,,
University of Oslo,https://www.unipage.net/en/99/university_of_oslo,NO,"Norway,Oslo",119.0,116.0,73.0,113,113,0,"25,963",,,"Oslo, Norway",1811.0,"27,505","4,676",66%,,#119,#116,,NOR,Norway,NO,483727398216.364,3.97,95.0573806762695,,2025.0,78.3
Ghent University,https://www.unipage.net/en/420/ghent_university,BE,"Belgium,Gent",169.0,112.0,84.0,"1,638","4,350","1,087","13,560",,,"Gent, Belgium",1817.0,"39,447","4,993",56%,,#169,#112,,BEL,Belgium,BE,664564181486.953,5.488,82.1475601196289,,2025.0,69.0
University of Alberta,https://www.unipage.net/en/706/university_of_alberta,CA,"Canada,Edmonton",96.0,116.0,91.0,"15,964","73,687","5,506","15,055","6,237","6,362","Edmonton, Canada",1908.0,"31,919","8,299",55%,,#96,#116,,CAN,Canada,CA,2241253230970.34,6.45,76.2586212158203,,2025.0,75.5
Nagoya University,https://www.unipage.net/en/433/nagoya_university,JP,"Japan,Nagoya",152.0,201.0,101.0,"3,746","3,746","3,746","3,746",,,"Nagoya, Japan",1939.0,"15,224","1,809",30%,10%,#152,#226,,JPN,Japan,JP,4026210821146.81,2.563,64.8912200927734,,2025.0,70.2
The Chinese University of Hong Kong,https://www.unipage.net/en/358/the_chinese_university_of_hong_kong,HK,"Hong Kong,Sha Tin",36.0,44.0,101.0,"18,696","18,696","18,696","18,696",,,"Sha Tin, Hong Kong",1963.0,"18,400","3,471",53%,,#36,#44,,,,,,,,,,
Fudan University,https://www.unipage.net/en/464/fudan_university,CN,"China,Shanghai",39.0,36.0,56.0,"1,597","25,848","6,806","21,765",,,"Shanghai, China",1905.0,"38,340","2,534",52%,,#39,#36,,CHN,China,CN,18743803170827.2,4.571,76.8757843123403,96.7399978637695,2025.0,49.0
University of Pittsburgh-Pittsburgh Campus,https://www.unipage.net/en/635/university_of_pittsburgh_pittsburgh_campus,US,"United States,Pittsburgh",275.0,141.0,83.0,"34,115","48,947","30,154","81,766","32,299","66,294","Pittsburgh, United States",1787.0,"29,301","3,483",54%,49%,#275,#141,#73,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Tokyo Institute of Technology,https://www.unipage.net/en/444/tokyo_institute_of_technology,JP,"Japan,Tokyo",84.0,195.0,151.0,"4,442","4,583","3,746","3,746",,,"Tokyo, Japan",1881.0,"9,752","1,268",16%,10%,#84,#195,,JPN,Japan,JP,4026210821146.81,2.563,64.8912200927734,,2025.0,70.2
University of Colorado Boulder,https://www.unipage.net/en/650/university_of_colorado_boulder,US,"United States,Boulder",320.0,143.0,57.0,"40,345","60,860","22,986","39,513",,,"Boulder, United States",1876.0,"39,149","2,923",45%,81%,#320,#143,,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Zhejiang University,https://www.unipage.net/en/477/zhejiang_university,CN,"China,Hangzhou",47.0,47.0,33.0,"2,294","30,706","4,749","11,522",,,"Hangzhou, China",1897.0,"65,605","4,479",23%,,#47,#47,,CHN,China,CN,18743803170827.2,4.571,76.8757843123403,96.7399978637695,2025.0,49.0
